profile_id,serial_number,start_date,end_date,source_start_level,source_end_level,initial_fill_percent,end_fill_percent,delta_fill_percent,fill_rate_percent_per_hour
213,1510830,2019-06-14,2019-06-15,4,8,40,80,40,1.66666666667
214,1510830,2019-06-16,2019-06-17,0,0,0,0,0,0
215,1510830,2019-06-17,2019-06-18,0,0,0,0,0,0
216,1510830,2019-06-18,2019-06-19,0,4,0,40,40,1.66666666667
217,1510830,2019-06-19,2019-06-20,4,4,40,40,0,0
218,1510830,2019-06-20,2019-06-21,4,6,40,60,20,0.833333333333
219,1510830,2019-06-22,2019-06-23,0,2,0,20,20,0.833333333333
220,1510830,2019-06-23,2019-06-24,2,2,20,20,0,0
221,1510830,2019-06-24,2019-06-25,2,6,20,60,40,1.66666666667
222,1510830,2019-06-26,2019-06-27,0,2,0,20,20,0.833333333333
223,1510830,2019-06-27,2019-06-28,2,4,20,40,20,0.833333333333
224,1510830,2019-06-28,2019-06-29,4,8,40,80,40,1.66666666667
225,1510830,2019-06-30,2019-07-01,0,0,0,0,0,0
226,1510830,2019-07-01,2019-07-02,0,0,0,0,0,0
227,1510830,2019-07-02,2019-07-03,0,0,0,0,0,0
228,1510830,2019-07-03,2019-07-04,0,6,0,60,60,2.5
229,1510830,2019-07-05,2019-07-06,0,0,0,0,0,0
230,1510830,2019-07-06,2019-07-07,0,0,0,0,0,0
231,1510830,2019-07-07,2019-07-08,0,2,0,20,20,0.833333333333
232,1510830,2019-07-08,2019-07-09,2,2,20,20,0,0
233,1510830,2019-07-09,2019-07-10,2,4,20,40,20,0.833333333333
234,1510830,2019-07-10,2019-07-11,4,6,40,60,20,0.833333333333
235,1510830,2019-07-12,2019-07-13,0,4,0,40,40,1.66666666667
236,1510830,2019-07-13,2019-07-14,4,6,40,60,20,0.833333333333
237,1510830,2019-07-15,2019-07-16,0,0,0,0,0,0
238,1510830,2019-07-16,2019-07-17,0,4,0,40,40,1.66666666667
239,1510830,2019-07-17,2019-07-18,4,4,40,40,0,0
240,1510830,2019-07-18,2019-07-19,4,6,40,60,20,0.833333333333
241,1510830,2019-07-20,2019-07-21,0,2,0,20,20,0.833333333333
